iter	Accuracy	Logloss
547	0.8765188834	0.3516519381
548	0.8765188834	0.3514315701
549	0.8763546798	0.3512413088
550	0.8761904762	0.3510522501
551	0.8761904762	0.3508988705
552	0.8765188834	0.3506922128
553	0.8771756979	0.3504470299
554	0.8778325123	0.3502570492
555	0.8775041051	0.350087153
556	0.8771756979	0.3499109628
557	0.8771756979	0.3497016994
558	0.8775041051	0.3495306807
559	0.8771756979	0.3493810294
560	0.8773399015	0.3492202734
561	0.8775041051	0.3490579138
562	0.8778325123	0.3489113493
563	0.8776683087	0.3487546022
564	0.8778325123	0.3485723987
565	0.8779967159	0.3484113621
566	0.8771756979	0.3482072301
567	0.8773399015	0.3480453516
568	0.8775041051	0.3479200341
569	0.8778325123	0.3477454876
570	0.8778325123	0.3475883797
571	0.8778325123	0.347412831
572	0.8779967159	0.3472000799
573	0.8779967159	0.3470084154
574	0.8778325123	0.3468119804
575	0.8784893268	0.3466249262
576	0.8783251232	0.346457275
577	0.8784893268	0.3462634859
578	0.8784893268	0.3460812824
579	0.8786535304	0.3459577288
580	0.8784893268	0.3457643406
581	0.878817734	0.3456211034
582	0.878817734	0.3454835989
583	0.878817734	0.3453221213
584	0.8791461412	0.3451679399
585	0.8793103448	0.3449468904
586	0.8789819376	0.3447533819
587	0.8789819376	0.3445886571
588	0.8796387521	0.3444056118
589	0.8794745484	0.3442464594
590	0.8799671593	0.3440538328
591	0.8798029557	0.3438681817
592	0.8799671593	0.3436829716
593	0.8802955665	0.343532318
594	0.8799671593	0.3433236559
595	0.8799671593	0.3431744455
596	0.8804597701	0.3429668257
597	0.8801313629	0.3427913572
598	0.8801313629	0.3426384987
599	0.8804597701	0.3424568164
600	0.8806239737	0.342271045
601	0.8807881773	0.3421333401
602	0.8807881773	0.341963965
603	0.8806239737	0.3418029284
604	0.8802955665	0.3416115045
605	0.8804597701	0.3414603698
606	0.8807881773	0.3412666208
607	0.8816091954	0.3410749965
608	0.8814449918	0.3408662542
609	0.8814449918	0.3406993246
610	0.8816091954	0.3405241767
